artist_name,genre
JJ Lin,mandopop
JJ Lin,singaporean pop
F.I.R.,mandopop
Joanna Wang,chinese audiophile
Joanna Wang,chinese jazz
Joanna Wang,mandopop
Joanna Wang,taiwan singer-songwriter
Shawn Mendes,canadian pop
Shawn Mendes,pop
Shawn Mendes,viral pop
Yoga Lin,chinese r&b
Yoga Lin,mandopop
Charlie Puth,pop
Charlie Puth,viral pop
Westlife,boy band
Niall Horan,pop
許嵩,mandopop
Joker Xue,mandopop
Andrew Tan,malaysian mandopop
Andrew Tan,mandopop
Imagine Dragons,modern rock
Imagine Dragons,pop
Imagine Dragons,rock
Hebe Tien,mandopop
S.H.E,c-pop girl group
S.H.E,mandopop
S.H.E,taiwan idol pop
S.H.E,taiwan pop
Fall Out Boy,emo
Fall Out Boy,modern rock
Fall Out Boy,pop
Fall Out Boy,rock
Aska Yang,mandopop
高爾宣 OSN,mandopop
高爾宣 OSN,taiwan pop
sodagreen,mandopop
Leehom Wang,mandopop
Leehom Wang,taiwan pop
Olivia Ong,mandopop
Olivia Ong,singaporean pop
Taylor Swift,pop
Eason Chan,c-pop
Eason Chan,cantopop
Eason Chan,mandopop
Jay Chou,c-pop
Jay Chou,mandopop
Jay Chou,taiwan pop
MAGIC!,pop
MAGIC!,reggae fusion
Foster The People,indietronica
Foster The People,modern alternative rock
Foster The People,modern rock
Foster The People,rock
Calvin Harris,dance pop
Calvin Harris,edm
Calvin Harris,electro house
Calvin Harris,house
Calvin Harris,pop
Calvin Harris,progressive house
Calvin Harris,uk dance
One Direction,boy band
One Direction,pop
One Direction,post-teen pop
One Direction,talent show
Camila Cabello,dance pop
Camila Cabello,pop
Little Mix,girl group
Little Mix,pop
Little Mix,talent show
Little Mix,uk pop
Mark Ronson,pop soul
Mr. Probz,pop dance
French Montana,hip hop
French Montana,pop rap
French Montana,rap
French Montana,southern hip hop
French Montana,trap
Khalid,pop
Khalid,pop r&b
Daft Punk,electro
Daft Punk,filter house
Daft Punk,rock
Kesha,dance pop
Kesha,pop
Harry Styles,pop
George Ezra,folk-pop
George Ezra,neo-singer-songwriter
Dillon Francis,brostep
Dillon Francis,edm
Dillon Francis,electro house
Dillon Francis,moombahton
Dillon Francis,pop dance
Dillon Francis,progressive electro house
Dillon Francis,slap house
Fifth Harmony,girl group
Fifth Harmony,pop
Fifth Harmony,talent show
R. City,reggae fusion
R. City,virgin islands reggae
Lil Nas X,lgbtq+ hip hop
Zara Larsson,pop
Zara Larsson,scandipop
Zara Larsson,swedish electropop
Zara Larsson,swedish pop
Train,dance pop
Train,neo mellow
Train,pop
Train,pop rock
WALK THE MOON,dance rock
WALK THE MOON,modern alternative rock
WALK THE MOON,modern rock
WALK THE MOON,neo mellow
WALK THE MOON,pop rock
Paloma Faith,british soul
Paloma Faith,talent show
Paloma Faith,uk pop
Childish Gambino,atl hip hop
Childish Gambino,hip hop
Childish Gambino,rap
P!nk,dance pop
P!nk,pop
John Legend,neo soul
John Legend,pop
John Legend,pop soul
John Legend,urban contemporary
The Chainsmokers,pop
Pharrell Williams,dance pop
Pharrell Williams,pop
Beyoncé,pop
Beyoncé,r&b
Adele,british soul
Adele,pop
Adele,pop soul
Adele,uk pop
Sia,pop
Chris Brown,r&b
Chris Brown,rap
Justin Timberlake,dance pop
Justin Timberlake,pop
Rachel Platten,post-teen pop
Rachel Platten,talent show
Rachel Platten,viral pop
Miley Cyrus,pop
ZAYN,pop
ZAYN,uk pop
Justin Bieber,canadian pop
Justin Bieber,pop
Ed Sheeran,pop
Ed Sheeran,singer-songwriter pop
Ed Sheeran,uk pop
Olly Murs,dance pop
Olly Murs,pop
Olly Murs,talent show
Olly Murs,uk pop
Alan Walker,electro house
Ronghao Li,chinese singer-songwriter
Ronghao Li,mandopop
Steve Chou,classic mandopop
Steve Chou,mandopop
Astro Bunny,chinese electropop
Astro Bunny,mandopop
Astro Bunny,taiwan indie
Astro Bunny,taiwan pop
Maroon 5,pop
Eric Chou,mandopop
The Vamps,boy band
The Vamps,pop
Wiz Khalifa,hip hop
Wiz Khalifa,pittsburgh rap
Wiz Khalifa,pop rap
